火星救援,雷德利·斯科特 RidleyScott,2015,8.5,723365人,10
千年女优,今敏 SatoshiKon,2001,8.8,265921人,10
谍影重重2,保罗·格林格拉斯 PaulGreengrass,2004,8.7,351155人,10
弱点,约翰·李·汉考克 John,2009,8.7,306908人,10
阿飞正传,王家卫 Kar,1990,8.5,509161人,10
白日梦想家,本·斯蒂勒 BenStiller,2013,8.6,473880人,10
谍影重重,道格·里曼 DougLiman,2002,8.6,424667人,10
燃情岁月,爱德华·兹威克 EdwardZwick,1994,8.8,285899人,10
哈利·波特与凤凰社,大卫·叶茨 DavidYates,2007,8.5,564583人,10
朗读者,史蒂芬·戴德利 StephenDaldry,2008,8.6,451807人,10
再次出发之纽约遇见你,约翰·卡尼 JohnCarney,2013,8.6,425387人,10
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob,2018,8.6,656233人,10
香水,汤姆·提克威 TomTykwer,2006,8.5,542618人,10
穿越时空的少女,细田守 MamoruHosoda,2006,8.6,380476人,10
